Charge Point ID,Serial,Site,Make,Lat,Lon
60332,EM4118A-1,Blackfriars Road,Elektromotive,53.4863,-2.25259
60333,EM4118B-3,Blackfriars Road,Elektromotive,53.4864,-2.25259
60334,EM4327A-1,Salford Civic Centre Staff Car Park,Elektromotive,53.51054,-2.33991
60335,EM4327B-3,Salford Civic Centre Staff Car Park,Elektromotive,53.51064,-2.33991
60336,EM4334A-1,Salford Civic Centre Staff Car Park,Elektromotive,53.51054,-2.33981
60337,EM4334B-3,Salford Civic Centre Staff Car Park,Elektromotive,53.51064,-2.33981
60338,EM3720B-3,Ashton Bus Station (TfGM access only),Elektromotive,53.49017,-2.08746
60339,EM3720A-1,Ashton Bus Station (TfGM access only),Elektromotive,53.49017,-2.08746
60350,EFA60350,Manchester Regional Tennis Centre,Siemens,53.48667372,-2.201868659
60351,EFA60351,Station Approach (TfGM access only),Siemens,53.47815,-2.23197
60352,EFA60352,John Dalton Building,Siemens,53.47180029,-2.241206562
60353,EFA60353,Salford Royal Infirmary,Siemens,53.4860381,-2.320214142
60357,EM3708B-3,Oldham Civic Centre,Elektromotive,53.54242,-2.11738
60358,EM3708A-1,Oldham Civic Centre,Elektromotive,53.54232,-2.11738
60361,EM3832A-1,"Housing Units Ltd, Wickentree Lane, Chadderton",Elektromotive,53.51681,-2.1517
60362,EM3832B-3,Housing Units Ltd,Elektromotive,53.51681,-2.1517
60363,EM4446A-1,"University of Manchester, Booth Street West Car Park, 1st Floor, (car park D)",Elektromotive,53.46634,-2.23796
60364,EM4446B-3,"University of Manchester, Booth Street West Car Park, 1st Floor, (car park D)",Elektromotive,53.46634,-2.23796
60365,EM4445A-1,"University of Manchester, Booth Street West Car Park, 1st Floor, (car park D)",Elektromotive,53.46634,-2.23796
60366,EM4445B-3,"University of Manchester, Booth Street West Car Park, 1st Floor, (car park D)",Elektromotive,53.46634,-2.23796
60367,EM3700A-1,Westway Car Park,Elektromotive,53.57798,-2.09501
60368,EM3700B-3,Westway Car Park,Elektromotive,53.578,-2.09501
60369,EM4141A-1,Port Street,Elektromotive,53.48225,-2.23112
60370,EM4141B-3,Port Street,Elektromotive,53.48225,-2.23112
60371,EM3844A-1,A580 Park and Ride,Elektromotive,53.51393,-2.37146
60372,EM3844B-3,A580 Park and Ride,Elektromotive,53.51393,-2.37146
60375,EM3841A-1,Hulme Street,Elektromotive,53.4718,-2.24456
60376,EM3841B-3,Hulme Street,Elektromotive,53.47182,-2.24458
60377,EM4517A-1,"University of Manchester, Cecil Street",Elektromotive,53.46241,-2.23432
60378,EM4517B-3,"University of Manchester, Cecil Street",Elektromotive,53.46251,-2.23432
60379,EM4516A-1,"University of Manchester, Cecil Street",Elektromotive,53.46261,-2.23432
60380,EM4516B-3,"University of Manchester, Cecil Street",Elektromotive,53.46271,-2.23432
60381,EM4536A-1,Oldham Mumps,Elektromotive,53.5424,-2.10343
60382,EM4536B-3,Oldham Mumps,Elektromotive,53.5425,-2.10343
60383,EM4537A-1,Oldham Mumps,Elektromotive,53.5426,-2.10343
60384,EM4537B-3,Oldham Mumps,Elektromotive,53.5427,-2.10343
60385,4538,Bolton Interchange (TfGM access only),Chargemaster,53.57303,-2.42517
60386,10104,"Manchester Metropolitan University - John Dalton Building, All Saints Campus",Chargemaster,53.4712,-2.24103
62340,DBT00062,Manchester Metropolitan University - Cambridge North,DBT ,53.46928,-2.24034
70168,APT70168,Capgemini Sale,APT,53.42794,-2.32338
70768,ELMCYC_0005,Manchester Metropolitan University - John Dalton Building,ICU,53.471385,-2.240286
70771,ELMCYC_0007,Manchester Metropolitan University - Cambridge Hall,ICU,53.46913,-2.24018
70772,ELMCYC_0006,Manchester Metropolitan University - John Dalton Building,ICU,53.4714,-2.24022
70774,ELMCYC_0008,The Christie NHS Foundation Trust,ICU,53.42891,-2.22535
70918,ELMCYC_0023,Grafton Street Car Park,ICU,53.46306,-2.2288
70919,ELMCYC_0025,Grafton Street Car Park,ICU,53.46316,-2.2288
70959,01.S90-03458,"Sir William Siemens House, Didsbury, Manchester",Siemens,53.42544,-2.25273
80067,ELMCYC_0064,Cobbett House,ICU,53.46113,-2.22787
80230,11340,Exchange Quay,Chargemaster,53.46724,-2.28261
80231,11305,Oswald Road,Chargemaster,53.44642,-2.28006
80232,11339,Derker Park and Ride,Chargemaster,53.55001,-2.10107
80233,11341,Parson Lane North,Chargemaster,53.59563,-2.29408
80234,11303,East Didsbury Park and Ride,Chargemaster,53.40928,-2.22187
80309,10285,"University of Manchester, Booth Street, Manchester",Chargemaster,53.46539,-2.2367
80417,4539,Vicars Gate ,Chargemaster,53.615202,-2.158708
80418,4535,Mona Street Pay and Display,Chargemaster,53.54544,-2.63747
80419,4537,River Street Car Park,Chargemaster,53.616327,-2.154849
80420,10101,Hyde Bus Station (TfGM access only),Chargemaster,53.452887,-2.08115
80421,10206,Laystall Street,Chargemaster,53.48113,-2.22794
80423,10102,Store Street,Chargemaster,53.48009,-2.22589
80441,11304,Etihad Velodrome Cycling Arena,Chargemaster,53.48581,-2.19229
80559,11590,Trafford General Hospital,Chargemaster,53.45253,-2.37023
80564,10843,Trafford Centre Parking Garage East,Chargemaster,53.46534,-2.34518
80565,10103,Croft Street Car Park,Chargemaster,53.51622,-2.14921
80571,11306,Corkland Road,Chargemaster,53.44012,-2.27138
80572,11178,Trafford Centre Parking Garage East,Chargemaster,53.46534,-2.34518
80802,4541,Irwell Place,Chargemaster,53.483011,-2.271178
CM10927,10927,"Back to the Garden Nursery, Sinderland Road, Broadheath",Chargemaster,53.40361,-2.35963
